,SIC,descr_2dig,descr_4dig,color,US 1987 SIC 1,EMPLOYEES HERE,pct,pct2,Label
733,5611.0,Retail and wholesale trade,Men's and Boys' Clothing and Accessory Stores,#FF9BCD,5611.0,505.0,0.0007100644963533619,0.07,Men's and Boys' Clothing and Accessory Stores (0.07%)
47,781.0,"Agriculture, Forestry, Fishing, Mining",Landscape Counseling and Planning,#698705,781.0,502.0,0.00070584629142453,0.07,Landscape Counseling and Planning (0.07%)
795,6231.0,"Finance, Insurance, And Real Estate",Security and Commodity Exchanges,#FFFF00,6231.0,499.0,0.0007016280864956981,0.07,Security and Commodity Exchanges (0.07%)
817,6712.0,"Finance, Insurance, And Real Estate",Offices of Bank Holding Companies,#FFFF00,6712.0,480.0,0.0006749127886130964,0.07,Offices of Bank Holding Companies (0.07%)
875,7382.0,Services,Security Systems Services,#FF0069,7382.0,464.0,0.0006524156956593265,0.07,Security Systems Services (0.07%)
991,9451.0,Public Administration,"Administration of Veterans' Affairs, Except Health and Insurance",#CD7CA4,9451.0,457.0,0.0006425732174920522,0.06,"Administration of Veterans' Affairs, Except Health and Insurance (0.06%)"
912,7941.0,Services,Professional Sports Clubs and Promoters,#FF0069,7941.0,447.0,0.000628512534395946,0.06,Professional Sports Clubs and Promoters (0.06%)
578,4121.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Taxicabs,#C3FF00,4121.0,446.0,0.0006271064660863354,0.06,Taxicabs (0.06%)
900,7699.0,Services,"Repair Shops and Related Services, Not Elsewhere Classified",#FF0069,7699.0,439.0,0.0006172639879190611,0.06,"Repair Shops and Related Services, Not Elsewhere Classified (0.06%)"
620,4812.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Radiotelephone Communications,#C3FF00,4812.0,422.0,0.0005933608266556806,0.06,Radiotelephone Communications (0.06%)
879,7513.0,Services,"Truck Rental and Leasing, Without Drivers",#FF0069,7513.0,415.0,0.0005835183484884063,0.06,"Truck Rental and Leasing, Without Drivers (0.06%)"
96,1623.0,Construction,"Water, Sewer, Pipeline, and Communications and Power Line Construction",#696969,1623.0,410.0,0.0005764880069403531,0.06,"Water, Sewer, Pipeline, and Communications and Power Line Construction (0.06%)"
760,5947.0,Retail and wholesale trade,"Gift, Novelty, and Souvenir Shops",#FF9BCD,5947.0,410.0,0.0005764880069403531,0.06,"Gift, Novelty, and Souvenir Shops (0.06%)"
755,5942.0,Retail and wholesale trade,Book Stores,#FF9BCD,5942.0,407.0,0.0005722698020115214,0.06,Book Stores (0.06%)
337,3149.0,Manufacturing,"Footwear, Except Rubber, Not Elsewhere Classified",#0072FF,3149.0,400.0,0.000562427323844247,0.06,"Footwear, Except Rubber, Not Elsewhere Classified (0.06%)"
876,7383.0,Services,News Syndicates,#FF0069,7383.0,400.0,0.000562427323844247,0.06,News Syndicates (0.06%)
849,7313.0,Services,"Radio, Television, and Publishers' Advertising Representatives",#FF0069,7313.0,389.0,0.0005469605724385303,0.05,"Radio, Television, and Publishers' Advertising Representatives (0.05%)"
681,5122.0,Retail and wholesale trade,"Drugs, Drug Proprietaries, and Druggists' Sundries",#FF9BCD,5122.0,388.0,0.0005455545041289196,0.05,"Drugs, Drug Proprietaries, and Druggists' Sundries (0.05%)"
387,3357.0,Manufacturing,Drawing and Insulating of Nonferrous Wire,#0072FF,3357.0,384.0,0.0005399302308904771,0.05,Drawing and Insulating of Nonferrous Wire (0.05%)
739,5699.0,Retail and wholesale trade,Miscellaneous Apparel and Accessory Stores,#FF9BCD,5699.0,384.0,0.0005399302308904771,0.05,Miscellaneous Apparel and Accessory Stores (0.05%)
677,5099.0,Retail and wholesale trade,"Durable Goods, Not Elsewhere Classified",#FF9BCD,5099.0,383.0,0.0005385241625808665,0.05,"Durable Goods, Not Elsewhere Classified (0.05%)"
973,8744.0,Services,Facilities Support Management Services,#FF0069,8744.0,379.0,0.000532899889342424,0.05,Facilities Support Management Services (0.05%)
114,1799.0,Construction,"Special Trade Contractors, Not Elsewhere Classified",#696969,1799.0,379.0,0.000532899889342424,0.05,"Special Trade Contractors, Not Elsewhere Classified (0.05%)"
294,2836.0,Manufacturing,"Biological Products, Except Diagnostic Substances",#0072FF,2836.0,378.0,0.0005314938210328134,0.05,"Biological Products, Except Diagnostic Substances (0.05%)"
645,5021.0,Retail and wholesale trade,Furniture,#FF9BCD,5021.0,377.0,0.0005300877527232028,0.05,Furniture (0.05%)
626,4899.0,"Transportation, Communications, Electric, Gas, And Sanitary Services","Communications Services, Not Elsewhere Classified",#C3FF00,4899.0,372.0,0.0005230574111751498,0.05,"Communications Services, Not Elsewhere Classified (0.05%)"
913,7948.0,Services,"Racing, Including Track Operation",#FF0069,7948.0,371.0,0.0005216513428655391,0.05,"Racing, Including Track Operation (0.05%)"
694,5149.0,Retail and wholesale trade,"Groceries and Related Products, Not Elsewhere Classified",#FF9BCD,5149.0,371.0,0.0005216513428655391,0.05,"Groceries and Related Products, Not Elsewhere Classified (0.05%)"
